5,9,4,9,2,0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,11050272,D
9,4,9,2,0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,11052000,X
4,9,2,0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,11053728,X
9,2,0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,11056320,D
2,0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,11058048,D
0,2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,1,11059776,D
2,6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,1,0,11062368,X
6,3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,1,0,6,11064096,D
3,7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,1,0,6,1,11065824,X
7,4,5,4,4,2,8,5,9,7,3,0,9,9,5,4,3,0,5,7,8,5,5,4,1,4,0,9,6,0,2,5,5,3,8,1,5,6,6,5,1,6,4,9,3,4,9,0,9,3,5,1,9,3,1,8,6,0,9,6,5,1,1,4,3,4,8,8,8,2,4,2,0,1,3,1,9,3,3,8,8,6,8,5,5,7,4,3,5,6,2,7,6,1,1,0,6,1,7,11068416,X
